SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
TELEMETRY_DATA_INGEST,2026-07-07,0.000043916,0.000000000,0.000043916,0.0000000000,0.0000439160
TRUST_CENTER,2026-07-07,1.094546172,0.000000000,1.094546172,0.0000000000,1.0945461720
WAREHOUSE_METERING,2026-07-07,75.097222174,2.445126035,77.542348209,-2.4451260350,75.0972221740
AI_INFERENCE,2026-07-08,0.000051590,0.000000000,0.000051590,0.0000000000,0.0000515900
AUTO_CLUSTERING,2026-07-08,0.000844751,0.000000000,0.000844751,0.0000000000,0.0008447510
PIPE,2026-07-08,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-08,0.000003234,0.000000000,0.000003234,0.0000000000,0.0000032340
TRUST_CENTER,2026-07-08,1.072893847,0.000000000,1.072893847,0.0000000000,1.0728938470
WAREHOUSE_METERING,2026-07-08,74.600277733,2.425746748,77.026024481,-2.4257467480,74.6002777330
AI_INFERENCE,2026-07-09,0.000067980,0.000000000,0.000067980,0.0000000000,0.0000679800
AUTO_CLUSTERING,2026-07-09,0.002630146,0.000000000,0.002630146,0.0000000000,0.0026301460
PIPE,2026-07-09,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-09,0.125623980,0.000000000,0.125623980,0.0000000000,0.1256239800
TELEMETRY_DATA_INGEST,2026-07-09,0.000030835,0.000000000,0.000030835,0.0000000000,0.0000308350
TRUST_CENTER,2026-07-09,1.101703485,0.000000000,1.101703485,0.0000000000,1.1017034850
WAREHOUSE_METERING,2026-07-09,77.051666634,2.377025991,79.428692625,-2.3770259910,77.0516666340
AUTO_CLUSTERING,2026-07-10,0.000104444,0.000000000,0.000104444,0.0000000000,0.0001044440
PIPE,2026-07-10,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-10,0.163004070,0.000000000,0.163004070,0.0000000000,0.1630040700
TELEMETRY_DATA_INGEST,2026-07-10,0.000022158,0.000000000,0.000022158,0.0000000000,0.0000221580
TRUST_CENTER,2026-07-10,0.722886313,0.000000000,0.722886313,0.0000000000,0.7228863130
WAREHOUSE_METERING,2026-07-10,61.377499965,2.135986472,63.513486437,-2.1359864720,61.3774999650
TRUST_CENTER,2026-07-11,0.712764115,0.000000000,0.712764115,0.0000000000,0.7127641150
WAREHOUSE_METERING,2026-07-11,50.422499974,2.108855791,52.531355765,-2.1088557910,50.4224999740
PIPE,2026-07-12,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-12,0.000000696,0.000000000,0.000000696,0.0000000000,0.0000006960
TRUST_CENTER,2026-07-12,0.690387582,0.000000000,0.690387582,0.0000000000,0.6903875820
